Ângulo,Velocidade
323,108.67
304,107.92
304,107.92
297,108.64
297,108.64
277,108.11
277,108.11
277,108.11
257,108.50
257,108.50
237,108.12
237,108.12
218,108.48
218,108.48
199,108.32
199,108.32
199,108.32
180,108.55
180,108.55
161,108.41
161,108.41
142,108.18
142,108.18
142,108.18
122,108.36
122,108.36
102,108.44
102,108.44
89,108.22
89,108.22
89,108.22
69,108.32
69,108.32
50,108.43
50,108.43
50,108.43
31,108.19
31,108.19
12,108.28
12,108.28
12,108.28
353,108.04
353,108.04
334,108.41
334,108.41
314,107.96
314,107.96
314,107.96
294,108.44
294,108.44
274,108.09
274,108.09
255,108.49
255,108.49
255,108.49
248,108.27
248,108.27
228,108.43
228,108.43
209,108.58
209,108.58
209,108.58
190,108.32
190,108.32
172,108.19
172,108.19
152,108.47
152,108.47
152,108.47
133,108.26
133,108.26
113,108.55
113,108.55
93,108.37
93,108.37
93,108.37
73,108.26
73,108.26
54,108.27
54,108.27
35,108.15
35,108.15
35,108.15
22,108.20
22,108.20
3,108.26
3,108.26
3,108.26
344,108.14
344,108.14
325,108.27
325,108.27
325,108.27
305,108.08
305,108.08
285,108.27
285,108.27
265,108.14
265,108.14
265,108.14
246,108.44
246,108.44
226,108.17
226,108.17
207,108.33
207,108.33
207,108.33
201,108.53
201,108.53
182,108.53
182,108.53
150,108.25
150,108.25
150,108.25
144,108.48
144,108.48
124,108.37
124,108.37
104,108.41
104,108.41
84,108.29
84,108.29
84,108.29
64,108.24
64,108.24
45,108.24
45,108.24
45,108.24
26,108.06
26,108.06
7,108.26
7,108.26
7,108.26
348,108.11
348,108.11
329,108.16
329,108.16
329,108.16
316,108.21
316,108.21
296,108.34
296,108.34
276,108.04
276,108.04
276,108.04
256,108.73
256,108.73
243,108.15
243,108.15
217,108.55
217,108.55
217,108.55
198,108.22
198,108.22
179,108.60
179,108.60
160,108.32
160,108.32
141,108.33
141,108.33
141,108.33
121,108.32
121,108.32
101,108.27
101,108.27
81,108.45
81,108.45
81,108.45
62,108.20
62,108.20
42,108.31
42,108.31
42,108.31
36,108.34
36,108.34
17,108.12
17,108.12
17,108.12
358,108.26
358,108.26
339,108.30
339,108.30
320,108.18
320,108.18
320,108.18
300,108.31
300,108.31
280,108.33
280,108.33
260,108.36
260,108.36
260,108.36
241,108.24
241,108.24
221,108.44
221,108.44
208,108.55
208,108.55
208,108.55
190,108.25
190,108.25
171,108.55
171,108.55
152,108.30
152,108.30
152,108.30
132,108.34
132,108.34
112,108.34
112,108.34
92,108.41
92,108.41
92,108.41
72,108.26
72,108.26
53,108.18
53,108.18
34,108.09
34,108.09
34,108.09
15,108.24
15,108.24
8,108.28
8,108.28
8,108.28
350,108.10
350,108.10
330,108.08
330,108.08
330,108.08
311,108.19
311,108.19
291,108.12
291,108.12
271,108.09
271,108.09
271,108.09
251,108.31
251,108.31
232,108.39
232,108.39
212,108.33
212,108.33
212,108.33
194,108.65
194,108.65
181,108.67
181,108.67
156,108.65
156,108.65
156,108.65
143,108.53
143,108.53
123,108.24
123,108.24
103,108.47
103,108.47
83,108.36
83,108.36
83,108.36
63,108.28
63,108.28
44,108.17
44,108.17
44,108.17
25,108.14
25,108.14
6,108.23
6,108.23
6,108.23
347,108.30
347,108.30
328,108.29
328,108.29
328,108.29
322,108.29
322,108.29
289,108.17
289,108.17
282,108.12
282,108.12
282,108.12
262,108.47
262,108.47
242,108.31
242,108.31
223,108.39
223,108.39
223,108.39
204,108.25
204,108.25
185,108.45
185,108.45
166,108.37
166,108.37
166,108.37
147,108.30
147,108.30
127,108.44
127,108.44
107,108.04
107,108.04
87,108.34
87,108.34
87,108.34
67,108.30
67,108.30
61,108.29
61,108.29
61,108.29
35,108.23
35,108.23
16,108.10
16,108.10
16,108.10
4,108.16
4,108.16
338,108.19
338,108.19
338,108.19
326,108.24
326,108.24
299,108.12
299,108.12
279,107.99
279,107.99
279,107.99
273,108.37
273,108.37
253,108.30
253,108.30
227,108.48
227,108.48
227,108.48
214,108.29
214,108.29
195,108.50
195,108.50
176,108.31
176,108.31
176,108.31
157,108.35
157,108.35
138,108.46
138,108.46
118,108.18
118,108.18
98,108.39
98,108.39
98,108.39
78,108.32
78,108.32
59,108.26
59,108.26
59,108.26
39,108.16
39,108.16
27,108.16
27,108.16
8,108.18
8,108.18
8,108.18
349,108.21
349,108.21
349,108.21
330,108.21
330,108.21
310,108.20
310,108.20
290,108.28
290,108.28
290,108.28
270,108.26
270,108.26
264,108.34
