Ângulo,Velocidade
352,53.60
352,53.60
345,53.39
345,53.39
345,53.39
336,54.42
336,54.42
326,54.47
326,54.47
326,54.47
316,53.35
316,53.35
307,54.59
307,54.59
307,54.59
297,54.35
297,54.35
287,53.42
287,53.42
283,53.36
283,53.36
283,53.36
270,54.27
270,54.27
263,53.65
263,53.65
263,53.65
250,53.52
250,53.52
243,54.51
243,54.51
243,54.51
230,54.48
230,54.48
221,53.72
221,53.72
221,53.72
218,54.66
218,54.66
208,53.86
208,53.86
199,53.99
199,53.99
199,53.99
189,54.77
189,54.77
180,53.55
180,53.55
180,53.55
170,54.34
170,54.34
161,54.72
161,54.72
161,54.72
151,53.42
151,53.42
148,54.92
148,54.92
148,54.92
135,54.11
135,54.11
125,55.05
125,55.05
118,53.66
118,53.66
118,53.66
105,53.98
105,53.98
98,55.08
98,55.08
98,55.08
88,54.90
88,54.90
82,54.60
82,54.60
82,54.60
72,54.39
72,54.39
72,54.39
62,53.55
62,53.55
52,54.48
52,54.48
52,54.48
49,53.90
49,53.90
39,54.48
39,54.48
39,54.48
27,53.58
27,53.58
20,54.47
20,54.47
20,54.47
8,54.17
8,54.17
5,54.50
5,54.50
5,54.50
355,54.92
355,54.92
355,54.92
346,53.59
346,53.59
336,53.95
336,53.95
336,53.95
326,54.97
326,54.97
317,54.69
317,54.69
317,54.69
313,54.69
313,54.69
304,54.85
304,54.85
304,54.85
290,53.41
290,53.41
284,54.33
284,54.33
270,54.71
270,54.71
270,54.71
264,53.46
264,53.46
254,54.52
254,54.52
254,54.52
247,54.21
247,54.21
237,53.60
237,53.60
237,53.60
227,54.85
227,54.85
218,53.95
218,53.95
218,53.95
208,53.94
208,53.94
199,54.82
199,54.82
189,53.61
189,53.61
189,53.61
186,53.90
186,53.90
174,53.94
174,53.94
174,53.94
167,54.92
167,54.92
158,53.64
158,53.64
158,53.64
145,54.14
145,54.14
135,55.10
135,55.10
135,55.10
125,53.53
125,53.53
119,54.18
119,54.18
112,54.44
112,54.44
112,54.44
102,53.54
102,53.54
92,54.71
92,54.71
92,54.71
82,54.39
82,54.39
72,53.64
72,53.64
72,53.64
62,54.67
62,54.67
62,54.67
56,54.28
56,54.28
46,54.45
46,54.45
46,54.45
36,53.67
36,53.67
27,54.57
27,54.57
27,54.57
21,54.20
21,54.20
21,54.20
14,53.81
14,53.81
5,54.83
5,54.83
5,54.83
355,53.58
355,53.58
346,53.99
346,53.99
346,53.99
336,55.00
336,55.00
333,54.94
333,54.94
333,54.94
320,53.82
320,53.82
310,53.54
310,53.54
310,53.54
300,54.94
300,54.94
290,53.73
290,53.73
290,53.73
284,53.65
284,53.65
270,55.04
270,55.04
267,53.39
267,53.39
267,53.39
257,54.48
257,54.48
247,54.40
247,54.40
247,54.40
237,53.59
237,53.59
228,54.53
228,54.53
228,54.53
218,54.22
218,54.22
209,53.80
209,53.80
209,53.80
202,53.68
202,53.68
193,54.65
193,54.65
183,54.14
183,54.14
183,54.14
174,53.64
174,53.64
164,54.86
164,54.86
164,54.86
155,54.06
155,54.06
145,53.73
145,53.73
145,53.73
135,55.03
135,55.03
132,53.43
132,53.43
132,53.43
122,54.29
122,54.29
112,54.93
112,54.93
102,53.48
102,53.48
102,53.48
92,54.31
92,54.31
82,54.68
82,54.68
82,54.68
76,55.03
76,55.03
66,53.77
66,53.77
66,53.77
56,53.91
56,53.91
56,53.91
46,54.77
46,54.77
37,53.59
37,53.59
37,53.59
27,54.28
27,54.28
24,54.24
24,54.24
24,54.24
15,53.76
15,53.76
15,53.76
5,54.69
5,54.69
