Ângulo[Graus],Velocidade[RPM]
169,14.54
160,76.64
156,72.41
147,72.56
143,72.33
134,71.14
130,70.82
121,71.24
116,71.48
112,71.72
103,72.08
94,71.45
89,71.54
80,71.34
76,70.93
67,71.68
63,71.58
54,72.02
45,70.90
37,71.01
33,71.07
24,71.72
16,71.93
12,71.83
8,71.27
359,71.07
355,71.48
347,71.02
343,71.70
334,71.56
330,71.27
321,71.85
312,71.26
308,71.18
304,71.66
295,71.45
286,71.73
281,71.22
277,70.99
268,71.44
264,71.18
255,71.86
246,71.89
242,71.59
237,71.30
229,71.21
224,71.33
216,71.25
212,71.87
203,71.91
199,71.31
191,71.27
183,71.59
174,71.18
170,71.89
162,71.74
157,71.77
149,71.95
144,71.64
136,71.59
131,71.19
122,71.26
118,71.79
109,71.35
104,71.96
95,71.76
91,71.45
82,71.93
77,71.74
68,71.53
64,71.20
55,71.10
51,71.91
42,70.92
38,71.96
30,71.66
26,71.40
17,71.92
13,71.47
5,71.62
1,71.03
352,71.09
348,71.68
340,71.01
331,71.08
327,71.61
318,70.91
314,71.95
305,71.65
296,71.00
292,71.90
283,71.67
278,71.52
274,71.95
265,70.93
256,71.50
252,71.05
247,71.10
239,71.76
230,71.22
226,71.95
217,71.76
213,71.74
205,72.05
201,71.65
192,71.71
188,71.18
180,71.28
176,71.69
167,71.12
163,71.96
154,71.62
150,71.77
141,72.03
137,71.07
128,71.78
119,71.07
110,71.69
101,71.14
97,71.91
88,71.79
83,71.73
74,71.90
70,71.81
61,71.64
57,71.16
48,71.10
44,71.89
35,70.83
31,71.78
23,71.65
19,71.56
10,71.86
6,71.64
358,71.82
354,71.04
345,71.08
341,71.56
333,70.96
328,71.89
320,71.64
315,71.05
307,71.87
298,71.53
293,71.65
289,71.87
280,71.16
271,71.55
267,71.02
258,71.19
249,71.56
244,71.14
240,71.24
231,71.73
223,71.18
219,71.73
210,71.78
206,71.67
198,71.96
194,71.31
185,71.80
181,71.09
173,71.23
169,71.58
160,71.10
156,71.94
147,71.66
143,71.83
134,71.90
130,71.58
121,71.72
116,71.19
107,71.30
103,71.78
94,71.24
89,71.80
80,71.59
76,71.56
67,71.79
63,71.21
54,71.32
50,71.92
41,71.35
32,71.51
28,71.28
20,71.14
16,71.58
8,71.17
3,71.75
355,71.50
351,71.66
342,71.70
338,71.19
330,71.59
325,71.26
317,71.33
312,71.61
304,71.31
299,71.59
290,71.59
286,71.48
277,71.66
272,71.20
263,71.28
259,71.32
255,71.24
246,71.68
237,71.50
233,71.55
224,71.58
220,71.41
212,71.68
207,71.42
199,71.68
195,71.65
187,71.41
178,71.59
174,71.47
166,71.45
161,71.68
153,71.57
149,71.72
140,71.61
136,71.56
127,71.64
122,71.36
113,71.44
109,71.48
100,71.31
95,71.73
86,71.57
82,71.55
73,71.75
68,71.36
60,71.51
55,71.75
47,71.58
42,71.58
34,71.25
30,71.83
21,71.41
17,71.56
9,71.66
5,71.34
356,71.58
352,71.20
344,71.27
340,71.52
331,71.08
323,71.31
318,71.56
309,71.10
305,71.69
296,71.53
292,71.49
283,71.77
278,71.10
269,71.36
265,71.08
256,71.23
252,71.68
243,71.23
239,71.76
230,71.67
226,71.43
217,71.76
213,71.24
205,71.75
201,71.27
192,71.35
188,71.56
184,71.23
176,71.79
167,71.68
163,71.66
154,71.91
150,71.34
146,71.67
137,71.16
128,71.27
124,71.62
115,71.24
106,71.21
101,71.77
97,71.22
88,71.98
79,71.75
74,71.57
65,71.92
61,71.29
52,71.42
48,71.39
39,70.94
35,71.59
27,71.08
23,71.78
14,71.65
10,71.59
2,71.84
358,71.12
349,71.58
345,71.90
337,71.12
333,71.56
324,70.96
320,71.97
311,71.68
307,71.53
298,71.95
293,71.02
284,71.64
280,71.08
271,71.05
266,71.74
258,71.07
253,72.01
244,71.70
240,71.50
231,71.93
227,71.07
219,71.58
214,71.97
206,71.07
202,71.94
194,71.29
189,71.26
181,71.74
177,71.74
168,72.09
164,71.16
156,71.75
151,71.98
143,71.18
138,71.73
130,71.12
125,72.01
116,71.82
112,71.77
103,72.00
98,71.05
89,71.64
85,71.96
76,71.08
71,71.76
62,71.28
58,71.76
49,71.87
41,70.93
32,71.15
28,71.66
24,71.02
16,71.95
12,71.55
3,71.72
355,71.86
351,71.03
347,71.67
338,70.98
330,71.09
325,71.58
321,71.04
312,72.02
304,71.56
299,71.64
290,71.82
286,71.16
277,71.58
272,71.84
263,71.07
259,71.61
250,71.14
246,71.22
237,71.71
233,71.72
224,71.79
220,71.62
211,71.66
203,72.01
199,71.33
195,71.89
187,71.93
178,71.27
174,71.51
166,71.17
161,71.93
153,71.67
148,71.86
140,71.90
135,71.20
127,71.75
122,71.17
113,71.30
109,71.75
100,71.27
95,71.90
86,71.67
81,71.58
73,71.77
68,71.24
59,71.47
55,71.24
46,71.33
42,71.39
38,71.31
29,71.73
21,71.60
17,71.66
9,71.71
5,71.23
356,71.62
352,71.19
344,71.14
339,71.60
331,71.22
322,71.19
318,71.58
309,71.22
305,71.64
296,71.54
292,71.60
283,71.69
278,71.24
269,71.36
265,71.43
256,71.23
251,71.60
243,71.37
238,71.60
230,71.64
225,71.49
217,71.54
213,71.35
204,71.45
200,71.56
192,71.57
188,71.64
179,71.46
175,71.41
167,71.61
163,71.61
154,71.74
150,71.74
141,71.51
132,71.72
128,71.35
123,71.56
115,71.71
105,71.40
101,71.74
92,71.59
87,71.53
78,71.66
74,71.31
65,71.69
61,71.26
52,71.48
48,71.79
39,71.08
35,71.68
27,71.46
22,71.37
14,71.72
10,71.43
2,71.51
358,71.15
349,71.27
345,71.39
