Ângulo,Velocidade
141,0.11
141,0.71
139,47.08
135,66.58
129,53.80
125,55.23
118,53.74
115,53.00
108,53.30
105,53.34
98,53.96
95,53.85
88,53.55
81,53.49
78,53.55
71,53.71
68,53.69
61,53.93
58,53.91
52,53.09
48,53.58
42,53.86
39,53.28
32,53.94
29,53.75
23,53.30
20,53.64
14,53.59
11,53.64
4,53.66
1,54.08
355,53.60
352,53.73
346,53.67
342,53.59
336,53.65
333,53.32
326,53.52
323,53.98
317,53.48
313,53.50
307,53.90
304,53.41
297,53.41
293,53.53
287,53.66
280,53.71
277,53.73
270,53.78
267,53.28
260,53.71
257,54.02
253,53.45
247,53.57
240,53.87
237,53.40
234,53.65
227,54.12
221,53.59
218,53.19
211,53.89
208,53.78
202,53.43
199,53.93
193,54.02
189,53.27
183,53.59
180,53.92
174,53.54
171,53.60
164,54.15
161,53.55
155,53.33
152,53.79
145,53.84
142,53.66
135,54.08
132,54.03
125,53.19
119,53.69
115,53.99
108,53.35
105,53.92
98,53.97
95,53.36
88,53.30
85,53.78
78,53.79
75,53.59
68,54.09
65,53.59
58,53.39
55,53.64
48,53.80
45,53.80
39,53.79
36,54.03
29,53.36
26,53.61
20,53.76
17,53.82
11,53.55
8,53.26
1,53.49
358,53.84
352,53.59
349,53.73
342,53.74
339,53.24
333,53.46
330,53.35
323,53.56
320,53.76
313,53.93
307,53.61
304,53.32
297,53.49
294,53.72
290,53.52
283,53.72
277,53.79
273,53.26
270,53.55
263,53.98
257,53.50
253,53.24
247,54.00
243,53.51
237,53.35
234,53.99
227,53.70
224,53.12
221,53.84
215,53.97
208,53.35
205,53.70
199,54.07
196,53.40
190,53.49
186,54.05
180,53.57
177,53.70
171,54.06
168,53.72
161,53.21
155,53.87
152,54.04
145,53.30
142,53.81
135,54.08
132,53.29
125,53.47
119,53.97
115,53.47
112,53.57
105,54.16
102,53.57
95,53.26
92,53.90
85,53.79
78,53.22
75,53.82
68,54.04
65,53.36
62,53.27
55,53.93
49,53.67
45,53.58
42,54.11
36,53.44
29,53.15
26,53.85
20,53.79
17,53.59
11,53.75
8,53.91
1,53.20
358,53.58
352,53.91
346,53.40
343,53.58
339,54.03
333,53.29
330,53.35
323,53.80
317,53.71
314,53.57
310,53.21
304,53.53
297,53.21
294,53.59
290,54.02
283,53.80
277,53.65
273,53.44
267,53.31
263,53.50
260,53.89
253,53.98
247,53.59
244,53.30
240,53.69
234,53.81
227,53.56
224,53.80
218,53.81
215,53.34
208,53.42
205,54.04
199,53.64
193,53.95
190,54.08
183,53.45
180,53.31
177,53.58
171,53.84
165,53.76
161,53.71
155,53.87
152,53.40
145,53.42
142,54.10
135,53.69
132,53.36
129,54.09
122,53.76
115,53.45
112,53.92
105,53.79
102,53.35
95,53.76
92,53.97
85,53.11
81,53.61
75,54.12
71,53.24
65,53.56
62,54.06
55,53.27
52,54.05
45,53.80
42,53.40
36,53.23
29,53.60
26,53.90
20,53.21
17,53.68
11,54.01
8,53.27
1,53.42
358,53.90
352,53.46
349,53.54
343,53.98
339,53.77
333,53.04
330,53.74
323,53.79
320,53.69
314,53.87
310,53.53
304,53.31
300,53.37
294,53.87
290,53.89
284,53.67
280,53.42
273,53.41
270,53.71
263,53.67
260,53.83
253,53.61
250,53.17
244,53.60
240,53.28
234,53.44
227,53.95
224,53.33
218,53.87
215,53.27
208,53.41
205,53.78
199,53.65
196,53.92
190,53.73
187,53.39
180,53.77
177,53.35
171,53.56
168,53.56
161,53.90
158,53.64
152,53.46
149,54.00
142,53.81
139,53.19
132,53.86
129,53.77
122,53.47
119,54.00
112,54.00
109,53.27
102,53.64
98,53.87
92,53.43
88,53.85
82,54.06
78,53.35
72,53.27
68,53.99
62,53.54
58,53.55
52,54.10
49,53.27
42,53.39
39,53.65
33,53.86
29,53.97
23,53.57
20,53.36
14,53.54
11,53.52
5,53.79
1,53.83
355,53.65
352,53.21
346,53.73
343,53.05
336,53.53
333,53.51
327,53.77
323,53.30
317,53.51
314,54.05
307,53.37
304,53.22
297,53.93
294,53.52
287,53.35
284,54.15
277,53.76
274,53.06
264,53.90
260,53.76
254,53.78
250,53.64
247,53.33
240,53.47
234,53.75
231,53.86
224,53.67
221,53.40
215,53.55
212,53.06
205,53.51
202,53.76
196,53.80
193,53.50
187,53.69
183,54.04
