angle,Velocidade,Tempo
135,-1.61,11.65
135,-2.16,11.69
135,-2.16,11.69
136,-2.10,11.72
136,-2.10,11.72
136,-2.10,11.72
0,0.00,0.00
0,0.00,0.00
137,-2.28,11.79
137,-2.28,11.79
137,-2.40,11.82
137,-2.40,11.82
138,-2.06,11.86
138,-2.06,11.86
138,-1.97,11.89
138,-1.97,11.89
138,-2.16,11.93
138,-2.16,11.93
139,-2.78,11.96
139,-2.78,11.96
139,-1.62,11.99
139,-1.62,11.99
139,-1.37,12.03
139,-1.37,12.03
140,-2.21,12.06
140,-2.21,12.06
140,-2.49,12.10
140,-2.49,12.10
141,-2.07,12.13
141,-2.07,12.13
141,-2.00,12.16
141,-2.00,12.16
141,-2.00,12.16
0,0.00,0.00
0,0.00,0.00
142,-2.60,12.23
142,-2.60,12.23
143,-2.39,12.27
143,-2.39,12.27
143,-2.41,12.30
143,-2.41,12.30
144,-2.43,12.33
144,-2.43,12.33
144,-2.33,12.37
144,-2.33,12.37
144,-2.18,12.40
144,-2.18,12.40
145,-2.14,12.44
145,-2.14,12.44
145,-2.24,12.47
145,-2.24,12.47
146,-1.96,12.50
146,-1.96,12.50
146,-1.27,12.54
146,-1.27,12.54
146,-1.05,12.57
146,-1.05,12.57
146,-1.05,12.57
0,0.00,0.00
0,0.00,0.00
147,-1.42,12.64
147,-1.42,12.64
147,-0.86,12.67
147,-0.86,12.67
147,-0.07,12.71
147,-0.07,12.71
147,-0.10,12.74
147,-0.10,12.74
148,-0.55,12.78
148,-0.55,12.78
148,-0.39,12.81
148,-0.39,12.81
148,0.05,12.84
148,0.05,12.84
148,0.04,12.88
148,0.04,12.88
148,0.02,12.91
148,0.02,12.91
148,0.02,12.91
0,0.00,0.00
0,0.00,0.00
148,0.30,12.98
148,0.30,12.98
148,0.34,13.01
148,0.34,13.01
148,0.33,13.04
148,0.33,13.04
147,0.32,13.07
147,0.32,13.07
147,0.32,13.07
0,0.00,0.00
0,0.00,0.00
147,0.36,13.14
147,0.36,13.14
147,0.28,13.17
147,0.28,13.17
147,0.44,13.21
147,0.44,13.21
147,0.50,13.24
147,0.50,13.24
147,0.44,13.27
147,0.44,13.27
147,0.44,13.27
0,0.00,0.00
0,0.00,0.00
147,0.43,13.34
147,0.43,13.34
147,0.44,13.37
147,0.44,13.37
147,0.35,13.40
147,0.35,13.40
147,0.31,13.44
147,0.31,13.44
147,0.31,13.44
0,0.00,0.00
0,0.00,0.00
146,0.25,13.50
146,0.25,13.50
146,0.17,13.54
146,0.17,13.54
146,0.03,13.57
146,0.03,13.57
146,-0.06,13.60
146,-0.06,13.60
146,-0.08,13.64
146,-0.08,13.64
146,-0.08,13.64
0,0.00,0.00
0,0.00,0.00
146,-0.16,13.70
146,-0.16,13.70
146,-0.01,13.74
146,-0.01,13.74
146,-0.15,13.77
146,-0.15,13.77
146,-0.37,13.81
146,-0.37,13.81
146,-0.34,13.84
146,-0.34,13.84
146,-0.09,13.88
146,-0.09,13.88
146,-0.09,13.91
146,-0.09,13.91
146,-0.03,13.94
146,-0.03,13.94
146,0.11,13.98
146,0.11,13.98
146,0.10,14.01
146,0.10,14.01
146,0.10,14.01
146,-0.12,14.04
146,-0.12,14.04
146,-0.81,14.00
146,-0.81,14.00
146,-1.85,140.11
146,-1.85,140.11
15,15.00,15.00
15,15.00,15.00
147,0.06,14.02
147,0.06,14.02
147,0.95,14.21
147,0.95,14.21
147,1.09,14.24
147,1.09,14.24
147,0.93,14.28
147,0.93,14.28
146,0.81,14.31
146,0.81,14.31
146,0.92,14.34
146,0.92,14.34
146,0.69,14.38
146,0.69,14.38
146,0.21,14.41
146,0.21,14.41
146,0.21,14.41
146,-0.26,14.40
146,-0.26,14.40
146,-0.57,140.48
146,-0.57,140.48
147,-0.84,140.00
147,-0.84,140.00
5,5.00,5.00
5,5.00,5.00
147,-3.03,14.58
147,-3.03,14.58
148,0.31,14.61
148,0.31,14.61
147,4.27,14.65
147,4.27,14.65
146,1.79,14.68
146,1.79,14.68
146,-1.22,14.71
146,-1.22,14.71
146,0.62,14.75
146,0.62,14.75
146,0.62,14.75
146,-1.58,14.70
146,-1.58,14.70
146,0.78,14.80
146,0.78,14.80
146,0.32,14.09
146,0.32,14.09
146,-0.97,14.88
146,-0.97,14.88
147,-0.40,14.91
147,-0.40,14.91
147,-0.39,14.95
147,-0.39,14.95
147,-1.49,14.98
147,-1.49,14.98
147,-1.44,15.02
147,-1.44,15.02
147,-1.11,15.05
147,-1.11,15.05
147,-1.45,15.08
147,-1.45,15.08
148,-1.20,15.12
148,-1.20,15.12
148,-1.10,15.15
148,-1.10,15.15
148,-2.35,15.19
148,-2.35,15.19
149,-2.20,15.22
149,-2.20,15.22
149,-2.54,15.25
149,-2.54,15.25
150,-3.27,15.29
150,-3.27,15.29
151,-3.18,15.32
151,-3.18,15.32
151,-3.18,15.32
0,0.00,0.00
0,0.00,0.00
152,-4.06,15.39
152,-4.06,15.39
153,-3.78,15.42
153,-3.78,15.42
153,-3.64,15.46
153,-3.64,15.46
154,-3.85,15.49
154,-3.85,15.49
155,-4.27,15.52
155,-4.27,15.52
156,-4.68,15.56
156,-4.68,15.56
157,-5.44,15.59
157,-5.44,15.59
158,-5.85,15.63
158,-5.85,15.63
159,-5.81,15.66
159,-5.81,15.66
160,-5.66,15.69
160,-5.66,15.69
161,-5.60,15.73
161,-5.60,15.73
162,-5.34,15.76
162,-5.34,15.76
162,-5.34,15.76
0,0.00,0.00
0,0.00,0.00
165,-7.59,15.83
165,-7.59,15.83
167,-7.83,15.86
167,-7.83,15.86
168,-7.90,15.90
168,-7.90,15.90
170,-7.76,15.93
170,-7.76,15.93
171,-8.09,15.97
171,-8.09,15.97
173,-8.90,16.00
173,-8.90,16.00
176,-9.85,16.03
176,-9.85,16.03
177,-9.94,16.07
177,-9.94,16.07
179,-9.35,16.10
179,-9.35,16.10
181,-9.51,16.14
181,-9.51,16.14
181,-9.51,16.14
0,0.00,0.00
0,0.00,0.00
185,-10.85,16.21
185,-10.85,16.21
187,-11.17,16.24
187,-11.17,16.24
190,-10.99,16.28
190,-10.99,16.28
192,-11.78,16.31
192,-11.78,16.31
194,-12.32,16.35
194,-12.32,16.35
196,-11.68,16.38
196,-11.68,16.38
199,-11.78,16.42
199,-11.78,16.42
201,-12.74,16.45
201,-12.74,16.45
204,-12.61,16.49
204,-12.61,16.49
207,-12.19,16.52
207,-12.19,16.52
209,-12.42,16.56
209,-12.42,16.56
212,-13.37,16.59
212,-13.37,16.59
214,-13.15,16.63
214,-13.15,16.63
216,-13.00,16.66
216,-13.00,16.66
219,-13.02,10.00
219,-13.02,10.00
222,-13.26,10.00
222,-13.26,10.00
225,-12.90,160.00
225,-12.90,160.00
80,80.00,80.00
80,80.00,80.00
230,-13.77,16.08
230,-13.77,16.08
233,-14.09,10.00
233,-14.09,10.00
236,-14.56,10.00
236,-14.56,10.00
239,-15.37,160.00
239,-15.37,160.00
98,98.00,98.00
98,98.00,98.00
245,-14.41,17.00
245,-14.41,17.00
248,-15.14,10.00
248,-15.14,10.00
251,-14.32,10.00
251,-14.32,10.00
255,-15.07,170.00
255,-15.07,170.00
15,15.00,15.00
15,15.00,15.00
260,-15.21,17.02
260,-15.21,17.02
264,-14.22,10.00
264,-14.22,10.00
266,-15.07,10.00
266,-15.07,10.00
269,-17.16,170.00
269,-17.16,170.00
33,33.00,33.00
33,33.00,33.00
276,-14.24,17.04
276,-14.24,17.04
278,-14.85,10.00
278,-14.85,10.00
282,-14.58,10.00
282,-14.58,10.00
285,-14.61,170.00
285,-14.61,170.00
50,50.00,50.00
50,50.00,50.00
292,-14.69,17.05
292,-14.69,17.05
294,-14.80,10.00
294,-14.80,10.00
297,-15.98,10.00
297,-15.98,10.00
301,-15.55,170.00
301,-15.55,170.00
68,68.00,68.00
68,68.00,68.00
306,-15.55,17.07
306,-15.55,17.07
310,-15.16,10.00
310,-15.16,10.00
313,-15.10,10.00
313,-15.10,10.00
315,-15.68,170.00
315,-15.68,170.00
85,85.00,85.00
85,85.00,85.00
322,-14.69,17.09
322,-14.69,17.09
325,-16.21,10.00
325,-16.21,10.00
328,-15.77,10.00
328,-15.77,10.00
332,-15.58,170.00
332,-15.58,170.00
3,3.00,3.00
3,3.00,3.00
339,-16.06,18.06
339,-16.06,18.06
341,-15.05,18.10
341,-15.05,18.10
344,-15.87,18.13
344,-15.87,18.13
348,-15.51,18.17
348,-15.51,18.17
351,-15.78,18.20
351,-15.78,18.20
354,-16.91,18.24
354,-16.91,18.24
357,-16.90,18.27
357,-16.90,18.27
0,-16.18,18.31
0,-16.18,18.31
3,-17.28,18.34
3,-17.28,18.34
6,-16.81,18.37
6,-16.81,18.37
11,-16.99,18.41
11,-16.99,18.41
14,-17.22,18.44
14,-17.22,18.44
17,-16.03,18.47
17,-16.03,18.47
20,-16.51,18.51
20,-16.51,18.51
24,-16.22,18.54
24,-16.22,18.54
27,-16.48,18.58
27,-16.48,18.58
30,-17.14,18.61
30,-17.14,18.61
30,-17.14,18.61
0,0.00,0.00
0,0.00,0.00
38,-17.34,18.68
38,-17.34,18.68
41,-17.89,18.71
41,-17.89,18.71
44,-16.49,18.75
44,-16.49,18.75
47,-17.10,18.78
47,-17.10,18.78
52,-17.50,18.81
52,-17.50,18.81
55,-17.81,18.85
55,-17.81,18.85
59,-18.37,18.88
59,-18.37,18.88
64,-16.56,18.92
64,-16.56,18.92
67,-16.56,18.95
67,-16.56,18.95
71,-16.85,18.98
71,-16.85,18.98
74,-17.09,19.02
74,-17.09,19.02
74,-17.09,19.02
0,0.00,0.00
0,0.00,0.00
82,-16.00,19.08
82,-16.00,19.08
85,-17.79,19.12
85,-17.79,19.12
89,-18.04,19.15
89,-18.04,19.15
95,-18.07,19.19
95,-18.07,19.19
98,-18.62,19.22
98,-18.62,19.22
102,-17.43,19.25
102,-17.43,19.25
107,-18.07,19.29
107,-18.07,19.29
110,-17.15,19.33
110,-17.15,19.33
113,-17.22,19.36
113,-17.22,19.36
117,-18.95,19.40
117,-18.95,19.40
