Ângulo,Velocidade
222,53.79
216,54.08
213,54.10
210,53.81
203,53.69
197,53.69
194,53.96
191,54.02
185,54.02
178,54.01
175,53.51
169,53.80
166,54.15
159,54.08
156,53.55
150,54.05
147,53.75
143,53.41
137,54.48
134,53.83
127,53.46
120,54.23
117,54.09
114,53.27
107,54.59
100,54.21
97,53.32
93,53.92
87,54.18
80,53.50
77,54.09
70,54.31
67,53.64
60,53.55
57,54.14
50,53.98
47,53.83
44,54.29
37,53.71
31,53.49
28,53.83
22,54.10
18,54.14
12,53.95
9,53.83
3,53.57
360,53.83
357,54.02
350,54.19
344,53.78
341,53.49
334,53.70
331,54.02
325,53.92
322,53.93
315,54.11
312,53.37
305,53.57
302,54.39
295,53.87
292,53.66
285,54.32
282,53.56
275,53.35
272,54.30
265,54.01
262,53.37
255,54.16
252,54.05
245,53.22
242,53.93
235,54.25
232,53.61
226,53.81
222,54.04
216,53.60
213,53.73
207,54.32
203,53.84
197,53.35
194,54.05
188,54.21
185,53.78
178,54.07
175,53.71
169,53.46
166,53.95
159,54.26
156,53.98
150,53.85
147,53.55
140,53.71
137,54.08
130,54.22
127,53.99
120,53.98
117,53.47
110,53.60
107,54.37
100,53.71
97,53.96
90,54.24
87,53.58
80,53.68
77,54.42
70,53.91
67,53.48
60,54.29
57,53.82
50,53.36
47,54.37
41,54.19
38,53.31
31,53.99
28,54.05
22,53.56
19,54.05
12,54.32
9,53.57
3,53.56
360,54.16
353,53.89
350,53.90
344,54.25
341,53.64
335,53.33
331,53.90
325,53.91
322,54.10
