Ângulo,Velocidade,Tempo
150,33.40,0.00

150,33.40,0.01

150,33.40,0.02

150,33.40,0.03

150,33.40,0.04

150,33.40,0.05

150,33.40,0.06

150,33.40,0.07

150,33.40,0.08

150,33.40,0.09

150,33.40,0.10

150,33.40,0.11

150,33.40,0.12

150,33.40,0.13

150,33.40,0.14

150,33.40,0.15

150,33.40,0.16

150,33.40,0.17

150,33.40,0.18

150,33.40,0.19

150,33.40,0.21

150,33.40,0.23

150,33.40,0.24

150,33.40,0.26

150,33.40,0.28

150,33.40,0.29

150,33.40,0.31

150,33.40,0.33

150,33.40,0.34

150,33.40,0.36

150,33.40,0.38

150,33.40,0.39

150,33.40,0.41

150,33.40,0.43

150,33.40,0.44

150,33.40,0.46

150,33.40,0.48

150,33.40,0.49

150,33.40,0.51

150,33.40,0.53

150,33.40,0.54

150,33.40,0.56

150,33.40,0.58

150,33.40,0.59

150,33.40,0.61

150,33.40,0.63

150,33.40,0.64

150,33.40,0.66

150,33.40,0.68

150,33.40,0.69

150,33.40,0.71

150,33.40,0.73

150,33.40,0.74

150,33.40,0.76

150,33.40,0.78

150,33.40,0.79

150,33.40,0.81

150,33.40,0.83

150,33.40,0.84

150,33.40,0.86

150,33.40,0.88

150,33.40,0.89

150,33.40,0.91

150,33.40,0.93

150,33.40,0.94

150,33.40,0.96

150,33.40,0.98

150,33.40,0.99

150,33.40,1.01

150,33.40,1.03

150,33.40,1.04

150,33.40,1.06

150,33.40,1.08

150,33.40,1.09

150,33.40,1.11

150,33.40,1.13

150,33.40,1.14

150,33.40,1.16

150,33.40,1.18

150,33.40,1.19

150,33.40,1.21

150,33.40,1.23

150,33.40,1.24

150,33.40,1.26

150,33.40,1.28

150,33.40,1.29

150,33.40,1.31

150,33.40,1.33

150,33.40,1.34

150,33.40,1.36

150,33.40,1.38

150,33.40,1.39

150,33.40,1.41

150,33.40,1.43

150,33.40,1.44

150,33.40,1.46

