Ângulo,Velocidade
357,1.10

357,1.10

357,2.10

357,2.10

357,2.10

357,3.71

357,3.71

357,3.71

355,7.11

355,7.11

355,7.11

354,6.11

354,6.11

354,6.11

354,6.11

353,1.97

353,1.97

353,1.97

353,-3.95

353,-3.95

353,-3.95

356,-13.10

356,-13.10

356,-13.10

0,-19.49

0,-19.49

0,-19.49

2,-9.18

2,-9.18

2,-9.18

3,0.80

3,0.80

3,0.80

2,2.01

2,2.01

2,2.01

2,2.01

2,0.90

2,0.90

2,0.90

2,-1.57

2,-1.57

2,-1.57

3,-5.26

3,-5.26

3,-5.26

4,-6.89

4,-6.89

4,-6.89

4,-6.89

5,-5.50

5,-5.50

5,-5.50

6,-2.85

6,-2.85

6,-2.85

7,-5.36

7,-5.36

7,-5.36

7,-5.36

7,-4.84

7,-4.84

7,-4.84

8,-4.65

8,-4.65

8,-4.65

9,-4.97

9,-4.97

9,-4.97

9,-4.97

10,-5.33

10,-5.33

10,-5.33

11,-4.42

11,-4.42

11,-4.42

12,-4.09

12,-4.09

12,-4.09

12,-4.09

13,-4.03

13,-4.03

13,-4.03

13,-2.05

13,-2.05

13,-2.05

13,-2.05

14,-2.23

14,-2.23

14,-2.23

14,-3.77

14,-3.77

14,-3.77

15,-5.37

15,-5.37

15,-5.37

15,-5.37

17,-6.41

17,-6.41

17,-6.41

18,-6.06

18,-6.06

18,-6.06

18,-6.06

19,-5.51

19,-5.51

19,-5.51

20,-4.93

20,-4.93

20,-4.93

21,-3.87

21,-3.87

21,-3.87

21,-3.87

21,-4.14

21,-4.14

21,-4.14

22,-5.36

22,-5.36

22,-5.36

22,-5.36

24,-6.22

24,-6.22

24,-6.22

25,-6.48

25,-6.48

25,-6.48

26,-7.28

26,-7.28

26,-7.28

26,-7.28

27,-7.67

27,-7.67

27,-7.67

30,-7.66

30,-7.66

30,-7.66

30,-7.66

31,-7.85

31,-7.85

31,-7.85

32,-7.87

32,-7.87

32,-7.87

34,-7.91

34,-7.91

34,-7.91

34,-7.91

36,-7.97

36,-7.97

36,-7.97

37,-8.14

37,-8.14

37,-8.14

37,-8.14

39,-8.31

39,-8.31

39,-8.31

41,-8.29

41,-8.29

41,-8.29

42,-7.83

42,-7.83

42,-7.83

42,-7.83

44,-8.11

44,-8.11

44,-8.11

45,-8.63

45,-8.63

45,-8.63

47,-9.04

47,-9.04

47,-9.04

49,-9.05

49,-9.05

49,-9.05

49,-9.05

51,-8.90

51,-8.90

51,-8.90

53,-8.57

53,-8.57

53,-8.57

54,-8.56

54,-8.56

54,-8.56

54,-8.56

56,-8.80

56,-8.80

56,-8.80

58,-8.83

58,-8.83

58,-8.83

60,-9.07

60,-9.07

60,-9.07

62,-9.65

62,-9.65

62,-9.65

62,-9.65

64,-9.73

64,-9.73

64,-9.73

65,-9.26

65,-9.26

65,-9.26

68,-9.23

68,-9.23

68,-9.23

70,-9.55

70,-9.55

70,-9.55

70,-9.55

72,-9.57

72,-9.57

72,-9.57

73,-9.91

73,-9.91

73,-9.91

76,-9.58

76,-9.58

76,-9.58

77,-9.13

77,-9.13

77,-9.13

77,-9.13

77,-9.13

77,-9.13

77,-9.13

80,-8.99

80,-8.99

80,-8.99

81,-9.11

81,-9.11

81,-9.11

81,-9.11

85,-10.15

85,-10.15

85,-10.15

87,-10.46

87,-10.46

87,-10.46

89,-10.68

89,-10.68

89,-10.68

92,-9.72

92,-9.72

92,-9.72

94,-9.33

94,-9.33

94,-9.33

96,-9.58

96,-9.58

